state,total_loans,undisbursed_loans,percent_undisbursed
DC,259,46,17.760617760617762
DE,262,44,16.793893129770993
WI,1271,209,16.443745082612114
AR,1076,176,16.356877323420075
LA,2862,454,15.86303284416492
NV,1874,296,15.795090715048026
TN,2448,385,15.727124183006536
IL,11080,1713,15.460288808664261
NY,3854,594,15.412558380902958
IN,1862,282,15.145005370569281
MI,2870,429,14.947735191637632
VA,1265,181,14.308300395256918
VI,7,1,14.285714285714285
GA,8865,1217,13.728144388042866
TX,7479,1022,13.664928466372508
CA,8837,1200,13.579268982686433
OH,3363,456,13.559322033898304
SC,1539,198,12.865497076023392
AZ,1395,178,12.759856630824373
PA,2413,306,12.681309573145464
