state,total_barbershop_loans,total_undispersed_loans,percent_undisbursed
IL,11080,1713,15.460288808664261
GA,8865,1217,13.728144388042866
CA,8837,1200,13.579268982686433
TX,7479,1022,13.664928466372508
FL,6522,745,11.422876418276601
NY,3854,594,15.412558380902958
OH,3363,456,13.559322033898304
MI,2870,429,14.947735191637632
LA,2862,454,15.86303284416492
TN,2448,385,15.727124183006536
PA,2413,306,12.681309573145464
NV,1874,296,15.795090715048026
IN,1862,282,15.145005370569281
AL,1830,226,12.349726775956285
NC,1702,186,10.928319623971799
MS,1644,177,10.766423357664232
SC,1539,198,12.865497076023392
MO,1471,186,12.64445955132563
AZ,1395,178,12.759856630824373
MD,1327,162,12.207987942727957
NJ,1322,145,10.968229954614221
WI,1271,209,16.443745082612114
VA,1265,181,14.308300395256918
AR,1076,176,16.356877323420075
MA,891,67,7.519640852974187
MN,771,84,10.894941634241246
KY,648,48,7.4074074074074066
WA,587,46,7.836456558773425
CT,585,50,8.547008547008547
OK,580,45,7.758620689655173
CO,546,53,9.706959706959708
IA,496,56,11.29032258064516
KS,454,33,7.268722466960352
OR,326,15,4.601226993865031
PR,323,10,3.0959752321981426
DE,262,44,16.793893129770993
DC,259,46,17.760617760617762
NE,222,21,9.45945945945946
UT,214,15,7.009345794392523
NM,184,12,6.521739130434782
RI,174,15,8.620689655172415
WV,145,11,7.586206896551724
ID,133,2,1.5037593984962405
ME,123,2,1.6260162601626018
NH,108,2,1.8518518518518516
HI,96,3,3.125
ND,79,2,2.5316455696202533
SD,74,4,5.405405405405405
AK,67,7,10.44776119402985
MT,65,4,6.153846153846154
WY,34,4,11.76470588235294
VT,19,1,5.263157894736842
GU,8,NA,NA
VI,7,1,14.285714285714285
AS,2,NA,NA
MP,1,1,100
